plugin,date,total_downloads,downloads_day,downloads_7d,downloads_30d
tap-asana,2021-07-08,7817,0,84,388
tap-bls,2021-07-08,2502,0,51,237
tap-zuora,2021-07-08,79043,0,318,1310
target-magentobi,2021-07-08,3285,0,11,42
target-stitch,2021-07-08,160334,0,870,3374
tap-liveperson,2021-07-08,9035,0,75,264
tap-clockify,2021-07-08,2589,0,38,160
tap-quickbooks,2021-07-08,5125,0,136,581
tap-chargebee,2021-07-08,10222,0,157,908
tap-snapchat-ads,2021-07-08,1155,0,25,108
tap-zendesk-chat,2021-07-08,32715,0,175,706
tap-pardot,2021-07-08,14579,0,197,1305
tap-stripe,2021-07-08,35422,0,277,1153
tap-twitter,2021-07-08,26847,0,117,405
tap-onfleet,2021-07-08,2547,0,19,76
tap-criteo,2021-07-08,4525,0,28,122
tap-activecampaign,2021-07-08,9410,0,44,197
tap-exchangeratesapi,2021-07-08,53766,0,627,2550
tap-autopilot,2021-07-08,9927,0,45,181
tap-jira,2021-07-08,46212,0,239,1114
tap-amazon-ads-dsp,2021-07-08,4674,0,73,308
tap-listrak,2021-07-08,25042,0,142,486
tap-revinate,2021-07-08,2013,0,12,42
tap-bigcommerce,2021-07-08,14239,0,159,803
tap-outreach,2021-07-08,3525,0,82,505
tap-lever,2021-07-08,11082,0,108,399
tap-wonolo,2021-07-08,8564,0,86,339
tap-xero,2021-07-08,75462,0,356,1462
tap-emarsys,2021-07-08,12511,0,61,230
tap-workday-raas,2021-07-08,2768,0,32,137
tap-dynamodb,2021-07-08,8776,0,87,366
tap-iterable,2021-07-08,3151,0,28,104
